NTPTime,GSR,GSR_clean,GSR_tonic,GSR_phasic,GSR_avg,GSR_std,TAG,emotion_HRI,shortNTPTime
246.0,0.0102512938901782,-1.3626180993806167,-1.364995059813204,0.0285934728309818,-1.3626180993806167,,,,
496.0,0.006407069042325,-1.3632302622698464,-1.3650531461542743,0.0135981157489062,-1.3629241808252317,0.000432864530165,,,
746.0,0.0089698852971196,-1.362822153726462,-1.3651097325841028,0.0261717042573019,-1.3628901717923083,0.0003116980809992,,,
996.0,0.0294724162667989,-1.35955728523108,-1.3651643476883124,0.1159985834068057,-1.3620569501520012,0.0016857650103054,,,
1246.0,0.006407069042325,-1.3632302622698464,-1.3652164565803209,0.0180131471613212,-1.3622099908743086,0.0017789039723267,,,
1496.0,0.0089698852971196,-1.362822153726462,-1.365265443740081,0.030381292472521,-1.3621079637384623,0.0017113006281274,,,
1746.0,0.0076884771697223,-1.3630262079981543,-1.365310628075002,0.0260809341029369,-1.3621589773063858,0.0017424451368251,,,
1996.0,0.0089698852971196,-1.362822153726462,-1.365351283942074,0.0327019476653466,-1.3629751944302313,0.0001953670911718,,,
2246.0,0.0076884771697223,-1.3630262079981543,-1.365386645766551,0.028136041692902,-1.3629241808623085,0.0001178107886913,,,
2496.0,0.0089698852971196,-1.362822153726462,-1.365415906019649,0.0344489794338423,-1.3629241808623085,0.0001178107886913,,,
2746.0,0.006407069042325,-1.3632302622698464,-1.3654382143723836,0.0240082795090095,-1.362975194430231,0.0001953670911718,,,
2996.0,0.006407069042325,-1.3632302622698464,-1.3654526790298451,0.0243993256816829,-1.3630772215660771,0.0001953670911717,,,
3246.0,0.006407069042325,-1.3632302622698464,-1.3654583702783063,0.0245531862853177,-1.3631282351340004,0.0002040542716923,,,
3496.0,0.0102512938901782,-1.3626180993806167,-1.3654543218984012,0.0410094378233365,-1.3630772215475389,0.0003060814446149,,,
3746.0,0.0076884771697223,-1.3630262079981543,-1.3654395270725976,0.0295656664448385,-1.363026207979616,0.0002885763534435,,,
3996.0,0.006407069042325,-1.3632302622698464,-1.3654129341780552,0.0233248396651866,-1.3630262079796158,0.0002885763534435,,,
4246.0,0.0089698852971196,-1.362822153726462,-1.36537344834427,0.0333011533272338,-1.3629241808437698,0.000263432960715,,,
4496.0,0.0076884771697223,-1.3630262079981543,-1.365319934434874,0.0263325277835401,-1.3630262079981543,0.0001666096151606,,,
4746.0,0.0102512938901782,-1.3626180993806167,-1.3652512166278452,0.0355185688614358,-1.36292418084377,0.000263432960715,,,
4996.0,0.006407069042325,-1.3632302622698464,-1.365166077557874,0.0166511706359143,-1.36292418084377,0.000263432960715,,,
5246.0,0.006407069042325,-1.3632302622698464,-1.3650632619331795,0.013871591746168,-1.363026207979616,0.0002885763534435,,,
5496.0,0.006407069042325,-1.3632302622698464,-1.3649414851598616,0.0105794058611744,-1.363077221547539,0.0003060814446149,,,
5746.0,0.0089698852971196,-1.362822153726462,-1.3647994411805655,0.0177831014792268,-1.3631282351340004,0.0002040542716923,,,
5996.0,0.0089698852971196,-1.362822153726462,-1.3646358047088516,0.0133592555538638,-1.363026207998154,0.0002356215773817,,,
6246.0,0.006407069042325,-1.3632302622698464,-1.3644492318029715,-0.002728464837289,-1.363026207998154,0.0002356215773817,,,
6496.0,0.0102512938901782,-1.3626180993806167,-1.3642383646705043,0.0081365252525354,-1.3628731672758467,0.0002567626857357,,,
6746.0,0.0038442525546997,-1.3636383708503077,-1.3640018402682472,-0.0258673125264639,-1.3630772215568083,0.0004524609597119,,,
6996.0,0.0102512938901782,-1.3626180993806167,-1.36373830080201,-0.0053824994727525,-1.3630262079703468,0.0004998289009815,,,
