NTPTime,GSR,GSR_clean,GSR_tonic,GSR_phasic,GSR_avg,GSR_std,TAG,emotion_HRI,shortNTPTime
113.0,0.0,-1.3471765003771488,-1.3501979632269747,-7.2885930815013476e-06,-1.3471765003771488,,,,
363.0,0.0,-1.3471765003771488,-1.3501979122531655,-8.218492885613113e-06,-1.3471765003771488,0.0,,,
613.0,0.0,-1.3471765003771488,-1.3501978453860255,-9.438329919487212e-06,-1.3471765003771488,0.0,,,
863.0,0.0,-1.3471765003771488,-1.3501977611949545,-1.0974202204367286e-05,-1.3471765003771488,0.0,,,
1113.0,0.0,-1.3471765003771488,-1.3501976581943718,-1.2853210724507556e-05,-1.3471765003771488,0.0,,,
1363.0,0.0,-1.3471765003771488,-1.3501975348469577,-1.5103400349724376e-05,-1.3471765003771488,0.0,,,
1613.0,0.0,-1.3471765003771488,-1.3501973895676074,-1.775368765662074e-05,-1.3471765003771488,0.0,,,
1863.0,0.0,-1.3471765003771488,-1.3501972207281665,-2.083377458054595e-05,-1.3471765003771488,0.0,,,
2113.0,0.0,-1.3471765003771488,-1.350197026663,-2.437404679738561e-05,-1.3471765003771488,0.0,,,
2363.0,0.0,-1.3471765003771488,-1.3501968056754623,-2.840545570462365e-05,-1.3471765003771488,0.0,,,
2613.0,0.0,-1.3471765003771488,-1.3501965560453282,-3.295938284536042e-05,-1.3471765003771488,0.0,,,
2863.0,0.0,-1.3471765003771488,-1.3501962760372526,-3.806748559773568e-05,-1.3471765003771488,0.0,,,
3113.0,0.0,-1.3471765003771488,-1.3501959639103212,-4.3761522936161336e-05,-1.3471765003771488,0.0,,,
3363.0,0.0,-1.3471765003771488,-1.35019561792876,-5.0073160060631605e-05,-1.3471765003771488,0.0,,,
3613.0,0.0,-1.3471765003771488,-1.3501952363738696,-5.703375068690737e-05,-1.3471765003771488,0.0,,,
3863.0,0.0,-1.3471765003771488,-1.3501948175572491,-6.467409579437288e-05,-1.3471765003771488,0.0,,,
4113.0,0.0,-1.3471765003771488,-1.3501943598353785,-7.302417764068818e-05,-1.3471765003771488,0.0,,,
4363.0,0.0,-1.3471765003771488,-1.3501938616256153,-8.211286787390758e-05,-1.3471765003771488,0.0,,,
