NTPTime,GSR,GSR_clean,GSR_tonic,GSR_phasic,GSR_avg,GSR_std,TAG,emotion_HRI,shortNTPTime
19.0,0.0,-2.634399479185367,-2.6359333343825098,8.763380118023148e-06,-2.634399479185367,,,,
269.0,0.0,-2.634399479185367,-2.6359333408662264,8.985998217546522e-06,-2.634399479185367,0.0,,,
519.0,0.0,-2.634399479185367,-2.635933348329155,9.24223749696786e-06,-2.634399479185367,0.0,,,
769.0,0.0,-2.634399479185367,-2.635933356837614,9.534375021209596e-06,-2.634399479185367,0.0,,,
1019.0,0.0,-2.634399479185367,-2.63593336645889,9.864721029430856e-06,-2.634399479185367,0.0,,,
1269.0,0.0,-2.634399479185367,-2.635933377260907,1.0235607752165486e-05,-2.634399479185367,0.0,,,
1519.0,0.0,-2.634399479185367,-2.635933389311864,1.0649376771201672e-05,-2.634399479185367,0.0,,,
1769.0,0.0,-2.634399479185367,-2.635933402679819,1.1108364833519307e-05,-2.634399479185367,0.0,,,
2019.0,0.0,-2.634399479185367,-2.635933417432226,1.1614888030274043e-05,-2.634399479185367,0.0,,,
2269.0,0.0,-2.634399479185367,-2.635933433635432,1.2171224252032648e-05,-2.634399479185367,0.0,,,
2519.0,0.0,-2.634399479185367,-2.6359334513540995,1.2779593832284568e-05,-2.634399479185367,0.0,,,
2769.0,0.0,-2.634399479185367,-2.635933470650602,1.3442138292745803e-05,-2.634399479185367,0.0,,,
3019.0,0.0,-2.634399479185367,-2.635933491584339,1.4160897106201906e-05,-2.634399479185367,0.0,,,
3269.0,0.0,-2.634399479185367,-2.635933514211,1.4937782395679642e-05,-2.634399479185367,0.0,,,
3519.0,0.0,-2.634399479185367,-2.635933538581768,1.5774551492667355e-05,-2.634399479185367,0.0,,,
3769.0,0.0,-2.634399479185367,-2.6359335647424524,1.6672777282000363e-05,-2.634399479185367,0.0,,,
4019.0,0.0,-2.634399479185367,-2.635933592732561,1.7633816266972077e-05,-2.634399479185367,0.0,,,
4269.0,0.0,-2.634399479185367,-2.635933622584301,1.865877429530759e-05,-2.634399479185367,0.0,,,
4519.0,0.0,-2.634399479185367,-2.635933654321513,1.974846989493147e-05,-2.634399479185367,0.0,,,
4769.0,0.0,-2.634399479185367,-2.63593368795853,2.090339517806428e-05,-2.634399479185367,0.0,,,
5019.0,0.0,-2.634399479185367,-2.635933723498966,2.212367428318367e-05,-2.634399479185367,0.0,,,
5269.0,0.0,-2.634399479185367,-2.6359337609344373,2.3409019336878797e-05,-2.634399479185367,0.0,,,
5519.0,0.0,-2.634399479185367,-2.6359338002432056,2.475868393170439e-05,-2.634399479185367,0.0,,,
5769.0,0.0,-2.634399479185367,-2.635933841388749,2.6171414131897605e-05,-2.634399479185367,0.0,,,
6019.0,0.0,-2.634399479185367,-2.6359338843182685,2.764539703635121e-05,-2.634399479185367,0.0,,,
6269.0,0.0,-2.634399479185367,-2.635933928961115,2.917820694763466e-05,-2.634399479185367,0.0,,,
6519.0,0.0,-2.634399479185367,-2.6359339752271573,3.076674921721286e-05,-2.634399479185367,0.0,,,
6769.0,0.0,-2.634399479185367,-2.635934023005081,3.2407201860421794e-05,-2.634399479185367,0.0,,,
7019.0,0.0,-2.634399479185367,-2.6359340721606266,3.4094955060308964e-05,-2.634399479185367,0.0,,,
7269.0,0.0,-2.634399479185367,-2.6359341225347683,3.582454870721921e-05,-2.634399479185367,0.0,,,
7519.0,0.0,-2.634399479185367,-2.6359341739418456,3.758960815108286e-05,-2.634399479185367,0.0,,,
7769.0,0.0,-2.634399479185367,-2.635934226167645,3.938277837581796e-05,-2.634399479185367,0.0,,,
8019.0,0.0,-2.634399479185367,-2.635934278967444,4.119565684015842e-05,-2.634399479185367,0.0,,,
8269.0,0.0,-2.634399479185367,-2.635934332064024,4.301872526662545e-05,-2.634399479185367,0.0,,,
8519.0,0.0,-2.634399479185367,-2.6359343851456623,4.484128070032065e-05,-2.634399479185367,0.0,,,
8769.0,0.0,-2.634399479185367,-2.6359344378641167,4.665136620177435e-05,-2.634399479185367,0.0,,,
9019.0,0.0,-2.634399479185367,-2.6359344898326027,4.843570158326001e-05,-2.634399479185367,0.0,,,
9269.0,0.0,-2.634399479185367,-2.6359345406237957,5.017961464579765e-05,-2.634399479185367,0.0,,,
9519.0,0.0,-2.634399479185367,-2.635934589767853,5.186697342451314e-05,-2.634399479185367,0.0,,,
9769.0,0.0,-2.634399479185367,-2.635934636750492,5.348012000307674e-05,-2.634399479185367,0.0,,,
10019.0,0.0,-2.634399479185367,-2.635934681011121,5.4999806513573184e-05,-2.634399479185367,0.0,,,
10269.0,0.0,-2.634399479185367,-2.6359347219410627,5.640513399629655e-05,-2.634399479185367,0.0,,,
10519.0,0.0,-2.634399479185367,-2.635934758881872,5.767349485453132e-05,-2.634399479185367,0.0,,,
10769.0,0.0,-2.634399479185367,-2.635934791123796,5.87805197022665e-05,-2.634399479185367,0.0,,,
11019.0,0.0,-2.634399479185367,-2.635934817904372,5.970002946785394e-05,-2.634399479185367,0.0,,,
11269.0,0.0,-2.634399479185367,-2.6359348384072185,6.040399368369666e-05,-2.634399479185367,0.0,,,
11519.0,0.0,-2.634399479185367,-2.635934851761025,6.086249596093565e-05,-2.634399479185367,0.0,,,
