NTPTime,GSR,GSR_clean,GSR_tonic,GSR_phasic,GSR_avg,GSR_std,TAG,emotion_HRI,shortNTPTime
3792616.0,2.5367259979248047,-0.2369157127018436,-0.2328410816508951,-0.0657304647258497,-0.2343520747797892,0.0025157122351069,,,
3792866.0,2.5392887592315674,-0.2352066472534112,-0.2329289110185919,-0.042629925074434,-0.2354202605597624,0.0010752897676185,,,
3793116.0,2.544414520263672,-0.2317883573589235,-0.233011362947241,0.0023800261882599,-0.2345656880861405,0.0021364033653167,,,
3793366.0,2.544414520263672,-0.2317883573589235,-0.2330891702886627,0.0033760648419141,-0.2339247686682755,0.0025636865095256,,,
3793616.0,2.545695781707764,-0.2309339041335185,-0.23316310189226,0.0153095693815528,-0.2324293165261942,0.0018948598517891,,,
3793866.0,2.5469772815704346,-0.2300792919104911,-0.2332339125762822,0.0272051664400586,-0.2311474776904642,0.0008181458909767,,,
3794116.0,2.544414520263672,-0.2317883573589235,-0.2333023157485518,0.0061046134984181,-0.2311474776904642,0.0008181458909767,,,
3794366.0,2.543133020401001,-0.2326429695819512,-0.2333689786472583,-0.004031136741611,-0.2313611307462211,0.0011032175415385,,,
3794616.0,2.538007497787476,-0.2360611004788157,-0.2334345504027641,-0.0471441412048775,-0.2326429298325454,0.0025157122351133,,,
3794866.0,2.5469772815704346,-0.2300792919104911,-0.2334997044851637,0.0306076604752005,-0.2326429298325454,0.0025157122351133,,,
3795116.0,2.5405702590942383,-0.2343520350303836,-0.2335651505099494,-0.0234960785434427,-0.2332838492504104,0.0025517353450465,,,
3795366.0,2.538007497787476,-0.2360611004788157,-0.233631625603563,-0.0446213134859507,-0.2341383819746265,0.0028234466373942,,,
3795616.0,2.5495400428771973,-0.2283702264620588,-0.2336999021216483,0.0551466651495086,-0.2322156634704373,0.0035917933556074,,,
3795866.0,2.5469772815704346,-0.2300792919104911,-0.2337707666900533,0.0340776213900065,-0.2322156634704373,0.0035917933556074,,,
3796116.0,2.553384304046631,-0.2258065487905987,-0.2338449398565006,0.0899686739027388,-0.2300792919104911,0.0043573414026165,,,
3796366.0,2.550821542739868,-0.2275156142390311,-0.2339229915534647,0.0689916350584972,-0.2279429203505449,0.0017788899144756,,,
3796616.0,2.5469772815704346,-0.2300792919104911,-0.2340052973480936,0.0370799293549195,-0.228370186712653,0.0020932124224022,,,
3796866.0,2.5495400428771973,-0.2283702264620588,-0.2340920436410301,0.0601666041922372,-0.2279429203505449,0.0017788899144756,,,
3797116.0,2.5405702590942383,-0.2343520350303836,-0.234183265435734,-0.0155833758698438,-0.2300792919104911,0.0030413638252124,,,
3797366.0,2.545695781707764,-0.2309339041335185,-0.2342788962147451,0.0295932379202025,-0.230933864384113,0.0025157122351201,,,
3797616.0,2.54185152053833,-0.2334975818049788,-0.234378813556241,-0.0020930162885565,-0.2317884368577349,0.0027023200279536,,,
3797866.0,2.544414520263672,-0.2317883573589235,-0.234482860037206,0.0212171687199166,-0.2326429695819511,0.0015601852016747,,,
3798116.0,2.5367259979248047,-0.2369157127018436,-0.234590853745387,-0.0433310277397853,-0.2332838889998161,0.0026454269883023,,,
3798366.0,2.5405702590942383,-0.2343520350303836,-0.2347026190888682,-0.0089349503613873,-0.2341384217240324,0.0021363874660298,,,
3798616.0,2.548258781433105,-0.2292246796874638,-0.2348180092730371,0.058472860465346,-0.2330701961946536,0.0033096936458788,,,
3798866.0,2.543133020401001,-0.2326429695819512,-0.234936869312819,0.0160399732475159,-0.2332838492504105,0.0032258868214068,,,
3799116.0,2.544414520263672,-0.2317883573589235,-0.235058976406197,0.0285922333609615,-0.2320020104146805,0.0021364033653283,,,
3799366.0,2.54185152053833,-0.2334975818049788,-0.2351840251791863,0.0082147758322243,-0.2317883971083293,0.0018460998102882,,,
3799616.0,2.544414520263672,-0.2317883573589235,-0.2353116434919883,0.0318267120021814,-0.2324293165261943,0.000818228923824,,,
3799866.0,2.54185152053833,-0.2334975818049788,-0.2354413999518855,0.0115095191996746,-0.2326429695819512,0.0009868212063691,,,
3800116.0,2.5367259979248047,-0.2369157127018436,-0.2355728133745997,-0.0307606233386976,-0.2339248084176812,0.0021505795183036,,,
3800366.0,2.538007497787476,-0.2360611004788157,-0.2357053908024171,-0.0180743288574536,-0.2345656880861404,0.0023532453468697,,,
3800616.0,2.5367259979248047,-0.2369157127018436,-0.2358386777319628,-0.0273572018655019,-0.2358475269218704,0.0016176008480197,,,
3800866.0,2.535444498062134,-0.2377703249248713,-0.235972287841508,-0.0366359377347383,-0.2369157127018435,0.0006977879755041,,,
3801116.0,2.532881736755371,-0.2394793903733036,-0.236105922463389,-0.0569014403577098,-0.2375566321197085,0.0014594584130873,,,
3801366.0,2.53160047531128,-0.2403338435987078,-0.2362394023157971,-0.0661797992051578,-0.2386248178996816,0.0015601561723707,,,
3801616.0,2.5392887592315674,-0.2352066472534112,-0.2363726930935349,0.0014551188146695,-0.2381975515375735,0.0022608910971543,,,
3801866.0,2.5405702590942383,-0.2343520350303836,-0.236505879923144,0.0141492144587597,-0.2373429790639515,0.0030010655795014,,,
3802116.0,2.5392887592315674,-0.2352066472534112,-0.2366390947763377,0.00486541877644,-0.2362747932839784,0.0027358582271577,,,
3802366.0,2.5405702590942383,-0.2343520350303836,-0.2367724582055564,0.0175617751331279,-0.2347793411418974,0.0004934106216429,,,
3802616.0,2.5392887592315674,-0.2352066472534112,-0.2369060599436912,0.0082829320985655,-0.2347793411418974,0.0004934106216429,,,
3802866.0,2.5405702590942383,-0.2343520350303836,-0.2370399538174005,0.0209860788584017,-0.2347793411418974,0.0004934106216429,,,
3803116.0,2.535444498062134,-0.2377703249248713,-0.2371741587887095,-0.0212503725905375,-0.2354202605597624,0.0016176778419391,,,
3803366.0,2.5367259979248047,-0.2369157127018436,-0.2373086783961797,-0.0085392155966974,-0.2360611799776274,0.0015602142297046,,,
3803616.0,2.5392887592315674,-0.2352066472534112,-0.2374435263211924,0.0151632248480281,-0.2360611799776274,0.0015602142297046,,,
3803866.0,2.532881736755371,-0.2394793903733036,-0.2375787335319985,-0.0380474771315282,-0.2373430188133574,0.0017788899144242,,,
3804116.0,2.534163236618042,-0.238624778150276,-0.2377143574602257,-0.025322183346223,-0.2375566321197086,0.0018948299738277,,,
