NTPTime,GSR,GSR_clean,GSR_tonic,GSR_phasic,GSR_avg,GSR_std,TAG,emotion_HRI,shortNTPTime
11292.0,0.0,-1.2146218274206684,-1.2148452549336382,9.983674126078845e-06,-1.2146218274206684,,,,
11542.0,0.0,-1.2146218274206684,-1.2148452549336364,9.983674014377462e-06,-1.2146218274206684,0.0,,,
11792.0,0.0,-1.2146218274206684,-1.2148452549336353,9.983673943342032e-06,-1.2146218274206684,0.0,,,
12042.0,0.0,-1.2146218274206684,-1.2148452549336348,9.98367391821348e-06,-1.2146218274206684,0.0,,,
12292.0,0.0,-1.2146218274206684,-1.2148452549336353,9.983673944548754e-06,-1.2146218274206684,0.0,,,
12542.0,0.0,-1.2146218274206684,-1.2148452549336366,9.983674028221687e-06,-1.2146218274206684,0.0,,,
12792.0,0.0,-1.2146218274206684,-1.2148452549336388,9.98367417542186e-06,-1.2146218274206684,0.0,,,
13042.0,0.0,-1.2146218274206684,-1.2148452549336424,9.983674392651318e-06,-1.2146218274206684,0.0,,,
13292.0,0.0,-1.2146218274206684,-1.2148452549336468,9.983674686718812e-06,-1.2146218274206684,0.0,,,
13542.0,0.0,-1.2146218274206684,-1.2148452549336526,9.9836750647314e-06,-1.2146218274206684,0.0,,,
13792.0,0.0,-1.2146218274206684,-1.2148452549336597,9.98367553408309e-06,-1.2146218274206684,0.0,,,
14042.0,0.0,-1.2146218274206684,-1.2148452549336686,9.983676102440297e-06,-1.2146218274206684,0.0,,,
14292.0,0.0,-1.2146218274206684,-1.2148452549336788,9.983676777723794e-06,-1.2146218274206684,0.0,,,
14542.0,0.0,-1.2146218274206684,-1.2148452549336908,9.983677568086884e-06,-1.2146218274206684,0.0,,,
14792.0,0.0,-1.2146218274206684,-1.214845254933705,9.983678481889512e-06,-1.2146218274206684,0.0,,,
15042.0,0.0,-1.2146218274206684,-1.214845254933721,9.983679527667958e-06,-1.2146218274206684,0.0,,,
15292.0,0.0,-1.2146218274206684,-1.2148452549337392,9.983680714099838e-06,-1.2146218274206684,0.0,,,
15542.0,0.0,-1.2146218274206684,-1.2148452549337596,9.98368204996406e-06,-1.2146218274206684,0.0,,,
15792.0,0.0,-1.2146218274206684,-1.2148452549337825,9.983683544095424e-06,-1.2146218274206684,0.0,,,
16042.0,0.0,-1.2146218274206684,-1.214845254933808,9.98368520533352e-06,-1.2146218274206684,0.0,,,
16292.0,0.0,-1.2146218274206684,-1.214845254933836,9.983687042465578e-06,-1.2146218274206684,0.0,,,
16542.0,0.0,-1.2146218274206684,-1.214845254933867,9.983689064162982e-06,-1.2146218274206684,0.0,,,
16792.0,0.0,-1.2146218274206684,-1.2148452549339008,9.983691278911034e-06,-1.2146218274206684,0.0,,,
17042.0,0.0,-1.2146218274206684,-1.214845254933938,9.983693694931718e-06,-1.2146218274206684,0.0,,,
17292.0,0.0,-1.2146218274206684,-1.214845254933978,9.983696320099104e-06,-1.2146218274206684,0.0,,,
17542.0,0.0,-1.2146218274206684,-1.2148452549340216,9.98369916184707e-06,-1.2146218274206684,0.0,,,
17792.0,0.0,-1.2146218274206684,-1.2148452549340685,9.983702227069062e-06,-1.2146218274206684,0.0,,,
18042.0,0.0,-1.2146218274206684,-1.214845254934119,9.983705522009622e-06,-1.2146218274206684,0.0,,,
18292.0,0.0,-1.2146218274206684,-1.2148452549341733,9.983709052147389e-06,-1.2146218274206684,0.0,,,
18542.0,0.0,-1.2146218274206684,-1.214845254934231,9.98371282206936e-06,-1.2146218274206684,0.0,,,
18792.0,0.0,-1.2146218274206684,-1.2148452549342923,9.98371683533622e-06,-1.2146218274206684,0.0,,,
19042.0,0.0,-1.2146218274206684,-1.2148452549343576,9.983721094338504e-06,-1.2146218274206684,0.0,,,
19292.0,0.0,-1.2146218274206684,-1.2148452549344266,9.983725600143552e-06,-1.2146218274206684,0.0,,,
19542.0,0.0,-1.2146218274206684,-1.2148452549344997,9.983730352333096e-06,-1.2146218274206684,0.0,,,
19792.0,0.0,-1.2146218274206684,-1.214845254934576,9.98373534883146e-06,-1.2146218274206684,0.0,,,
20042.0,0.0,-1.2146218274206684,-1.2148452549346564,9.983740585724416e-06,-1.2146218274206684,0.0,,,
20292.0,0.0,-1.2146218274206684,-1.2148452549347402,9.983746057068726e-06,-1.2146218274206684,0.0,,,
20542.0,0.0,-1.2146218274206684,-1.2148452549348276,9.98375175469261e-06,-1.2146218274206684,0.0,,,
20792.0,0.0,-1.2146218274206684,-1.214845254934918,9.98375766798727e-06,-1.2146218274206684,0.0,,,
21042.0,0.0,-1.2146218274206684,-1.2148452549350115,9.983763783689846e-06,-1.2146218274206684,0.0,,,
21292.0,0.0,-1.2146218274206684,-1.2148452549351083,9.98377008565821e-06,-1.2146218274206684,0.0,,,
21542.0,0.0,-1.2146218274206684,-1.2148452549352071,9.983776554638087e-06,-1.2146218274206684,0.0,,,
21792.0,0.0,-1.2146218274206684,-1.2148452549353086,9.983783168023143e-06,-1.2146218274206684,0.0,,,
22042.0,0.0,-1.2146218274206684,-1.2148452549354118,9.983789899608747e-06,-1.2146218274206684,0.0,,,
22292.0,0.0,-1.2146218274206684,-1.2148452549355162,9.98379671934033e-06,-1.2146218274206684,0.0,,,
22542.0,0.0,-1.2146218274206684,-1.2148452549356217,9.983803593057276e-06,-1.2146218274206684,0.0,,,
22792.0,0.0,-1.2146218274206684,-1.2148452549357271,9.983810482233551e-06,-1.2146218274206684,0.0,,,
23042.0,0.0,-1.2146218274206684,-1.2148452549358322,9.98381734371636e-06,-1.2146218274206684,0.0,,,
23292.0,0.0,-1.2146218274206684,-1.2148452549359363,9.983824129464278e-06,-1.2146218274206684,0.0,,,
23542.0,0.0,-1.2146218274206684,-1.2148452549360382,9.983830786286564e-06,-1.2146218274206684,0.0,,,
23792.0,0.0,-1.2146218274206684,-1.2148452549361373,9.98383725558543e-06,-1.2146218274206684,0.0,,,
24042.0,0.0,-1.2146218274206684,-1.2148452549362327,9.983843473103344e-06,-1.2146218274206684,0.0,,,
24292.0,0.0,-1.2146218274206684,-1.214845254936323,9.9838493686776e-06,-1.2146218274206684,0.0,,,
24542.0,0.0,-1.2146218274206684,-1.214845254936407,9.98385486600458e-06,-1.2146218274206684,0.0,,,
24792.0,0.0,-1.2146218274206684,-1.214845254936484,9.98385988241642e-06,-1.2146218274206684,0.0,,,
25042.0,0.0,-1.2146218274206684,-1.214845254936552,9.983864328672976e-06,-1.2146218274206684,0.0,,,
25292.0,0.0,-1.2146218274206684,-1.21484525493661,9.983868108772271e-06,-1.2146218274206684,0.0,,,
25542.0,0.0,-1.2146218274206684,-1.2148452549366562,9.983871119782776e-06,-1.2146218274206684,0.0,,,
25792.0,0.0,-1.2146218274206684,-1.2148452549366888,9.983873251701257e-06,-1.2146218274206684,0.0,,,
26042.0,0.0,-1.2146218274206684,-1.214845254936706,9.983874387340054e-06,-1.2146218274206684,0.0,,,
26292.0,0.0,-1.2146218274206684,-1.2148452549367064,9.983874402248044e-06,-1.2146218274206684,0.0,,,
26542.0,0.0,-1.2146218274206684,-1.2148452549366875,9.983873164669692e-06,-1.2146218274206684,0.0,,,
26792.0,0.0,-1.2146218274206684,-1.2148452549366473,9.98387053554702e-06,-1.2146218274206684,0.0,,,
27042.0,0.0,-1.2146218274206684,-1.2148452549365834,9.98386636856942e-06,-1.2146218274206684,0.0,,,
27292.0,0.0,-1.2146218274206684,-1.2148452549364936,9.9838605102767e-06,-1.2146218274206684,0.0,,,
27542.0,0.0,-1.2146218274206684,-1.2148452549363755,9.9838528002209e-06,-1.2146218274206684,0.0,,,
27792.0,0.0,-1.2146218274206684,-1.2148452549362263,9.9838430711927e-06,-1.2146218274206684,0.0,,,
28042.0,0.0,-1.2146218274206684,-1.214845254936044,9.983831149518595e-06,-1.2146218274206684,0.0,,,
28292.0,0.0,-1.2146218274206684,-1.2148452549358248,9.983816855435166e-06,-1.2146218274206684,0.0,,,
28542.0,0.0,-1.2146218274206684,-1.2148452549355666,9.983800003547048e-06,-1.2146218274206684,0.0,,,
28792.0,0.0,-1.2146218274206684,-1.2148452549352664,9.983780403375488e-06,-1.2146218274206684,0.0,,,
29042.0,0.0,-1.2146218274206684,-1.214845254934921,9.983757860004528e-06,-1.2146218274206684,0.0,,,
29292.0,0.0,-1.2146218274206684,-1.2148452549345274,9.98373217483202e-06,-1.2146218274206684,0.0,,,
29542.0,0.0,-1.2146218274206684,-1.214845254934083,9.983703146432998e-06,-1.2146218274206684,0.0,,,
29792.0,0.0,-1.2146218274206684,-1.2148452549335838,9.983670571542832e-06,-1.2146218274206684,0.0,,,
30042.0,0.0,-1.2146218274206684,-1.2148452549330273,9.983634246167927e-06,-1.2146218274206684,0.0,,,
30292.0,0.0,-1.2146218274206684,-1.2148452549324102,9.983593966831656e-06,-1.2146218274206684,0.0,,,
30542.0,0.0,-1.2146218274206684,-1.2148452549317297,9.983549531963263e-06,-1.2146218274206684,0.0,,,
30792.0,0.0,-1.2146218274206684,-1.2148452549309818,9.983500743437525e-06,-1.2146218274206684,0.0,,,
31042.0,0.0,-1.2146218274206684,-1.2148452549301647,9.98344740827274e-06,-1.2146218274206684,0.0,,,
31292.0,0.0,-1.2146218274206684,-1.2148452549292752,9.983389340494688e-06,-1.2146218274206684,0.0,,,
31542.0,0.0,-1.2146218274206684,-1.2148452549283102,9.983326363173744e-06,-1.2146218274206684,0.0,,,
31792.0,0.0,-1.2146218274206684,-1.2148452549272677,9.983258310642316e-06,-1.2146218274206684,0.0,,,
32042.0,0.0,-1.2146218274206684,-1.214845254926145,9.983185030899235e-06,-1.2146218274206684,0.0,,,
32292.0,0.0,-1.2146218274206684,-1.2148452549249402,9.983106388207418e-06,-1.2146218274206684,0.0,,,
32542.0,0.0,-1.2146218274206684,-1.2148452549236517,9.98302226589051e-06,-1.2146218274206684,0.0,,,
32792.0,0.0,-1.2146218274206684,-1.2148452549222772,9.982932569333636e-06,-1.2146218274206684,0.0,,,
33042.0,0.0,-1.2146218274206684,-1.2148452549208166,9.982837229192712e-06,-1.2146218274206684,0.0,,,
33292.0,0.0,-1.2146218274206684,-1.214845254919269,9.982736204815743e-06,-1.2146218274206684,0.0,,,
33542.0,0.0,-1.2146218274206684,-1.2148452549176338,9.982629487878812e-06,-1.2146218274206684,0.0,,,
33792.0,0.0,-1.2146218274206684,-1.214845254915912,9.982517106238163e-06,-1.2146218274206684,0.0,,,
34042.0,0.0,-1.2146218274206684,-1.2148452549141049,9.982399127998637e-06,-1.2146218274206684,0.0,,,
34292.0,0.0,-1.2146218274206684,-1.2148452549122133,9.982275665797349e-06,-1.2146218274206684,0.0,,,
34542.0,0.0,-1.2146218274206684,-1.2148452549102402,9.982146881299888e-06,-1.2146218274206684,0.0,,,
34792.0,0.0,-1.2146218274206684,-1.214845254908189,9.982012989904688e-06,-1.2146218274206684,0.0,,,
35042.0,0.0,-1.2146218274206684,-1.2148452549060638,9.981874265649306e-06,-1.2146218274206684,0.0,,,
35292.0,0.0,-1.2146218274206684,-1.2148452549038695,9.981731046310296e-06,-1.2146218274206684,0.0,,,
35542.0,0.0,-1.2146218274206684,-1.2148452549016129,9.981583738686152e-06,-1.2146218274206684,0.0,,,
35792.0,0.0,-1.2146218274206684,-1.2148452548993005,9.981432824050302e-06,-1.2146218274206684,0.0,,,
36042.0,0.0,-1.2146218274206684,-1.214845254896942,9.981278863758596e-06,-1.2146218274206684,0.0,,,
36292.0,0.0,-1.2146218274206684,-1.2148452548945463,9.981122504992764e-06,-1.2146218274206684,0.0,,,
36542.0,0.0,-1.2146218274206684,-1.2148452548921256,9.980964486618392e-06,-1.2146218274206684,0.0,,,
36792.0,0.0,-1.2146218274206684,-1.2148452548896922,9.980805645132585e-06,-1.2146218274206684,0.0,,,
37042.0,0.0,-1.2146218274206684,-1.2148452548872604,9.980646920673058e-06,-1.2146218274206684,0.0,,,
37292.0,0.0,-1.2146218274206684,-1.2148452548848463,9.980489363056616e-06,-1.2146218274206684,0.0,,,
37542.0,0.0,-1.2146218274206684,-1.2148452548824684,9.98033413781111e-06,-1.2146218274206684,0.0,,,
37792.0,0.0,-1.2146218274206684,-1.2148452548801456,9.980182532160672e-06,-1.2146218274206684,0.0,,,
38042.0,0.0,-1.2146218274206684,-1.2148452548779003,9.980035960919709e-06,-1.2146218274206684,0.0,,,
38292.0,0.0,-1.2146218274206684,-1.2148452548757556,9.97989597224646e-06,-1.2146218274206684,0.0,,,
38542.0,0.0,-1.2146218274206684,-1.2148452548737376,9.979764253202043e-06,-1.2146218274206684,0.0,,,
38792.0,0.0,-1.2146218274206684,-1.2148452548718744,9.979642635055886e-06,-1.2146218274206684,0.0,,,
39042.0,0.0,-1.2146218274206684,-1.2148452548701962,9.979533098273068e-06,-1.2146218274206684,0.0,,,
39292.0,0.0,-1.2146218274206684,-1.2148452548687358,9.979437777113728e-06,-1.2146218274206684,0.0,,,
39542.0,0.0,-1.2146218274206684,-1.2148452548675284,9.979358963768853e-06,-1.2146218274206684,0.0,,,
39792.0,0.0,-1.2146218274206684,-1.2148452548666115,9.979299111951052e-06,-1.2146218274206684,0.0,,,
40042.0,0.0,-1.2146218274206684,-1.2148452548660251,9.979260839852834e-06,-1.2146218274206684,0.0,,,
40292.0,0.0,-1.2146218274206684,-1.214845254865812,9.979246932378754e-06,-1.2146218274206684,0.0,,,
40542.0,0.0,-1.2146218274206684,-1.2148452548660176,9.979260342551594e-06,-1.2146218274206684,0.0,,,
40792.0,0.0,-1.2146218274206684,-1.2148452548666893,9.979304191986332e-06,-1.2146218274206684,0.0,,,
41042.0,0.0,-1.2146218274206684,-1.214845254867878,9.979381770319327e-06,-1.2146218274206684,0.0,,,
41292.0,0.0,-1.2146218274206684,-1.2148452548696362,9.97949653347368e-06,-1.2146218274206684,0.0,,,
41542.0,0.0,-1.2146218274206684,-1.2148452548720194,9.97965210063537e-06,-1.2146218274206684,0.0,,,
41792.0,0.0,-1.2146218274206684,-1.2148452548750857,9.97985224980853e-06,-1.2146218274206684,0.0,,,
42042.0,0.0,-1.2146218274206684,-1.2148452548788953,9.980100911811816e-06,-1.2146218274206684,0.0,,,
42292.0,0.0,-1.2146218274206684,-1.2148452548835107,9.980402162572052e-06,-1.2146218274206684,0.0,,,
42542.0,0.0,-1.2146218274206684,-1.214845254888996,9.980760213565383e-06,-1.2146218274206684,0.0,,,
42792.0,0.0,-1.2146218274206684,-1.214845254895418,9.98117940025068e-06,-1.2146218274206684,0.0,,,
43042.0,0.0,-1.2146218274206684,-1.2148452549028448,9.98166416833487e-06,-1.2146218274206684,0.0,,,
43292.0,0.0,-1.2146218274206684,-1.214845254911346,9.982219057705168e-06,-1.2146218274206684,0.0,,,
